Deal Name,Company name,Address,google_places_id,"Macro Geo (NYC, SF, CHS, DC, LA, NASH, DEN)",Error?
Laissez Faire Financial District,Laissez Faire,10 Theatre Alley,ChIJuQ9WfihbwokR3PTLA2-HvhE,NYC,
BlindPig Tenderloin,BlindPig Speakeasy Lounge,1113 Polk St.,ChIJ7SlawgSBhYARbP6ZoPjNHMA,SF,
Dragon Horse SOMA,Dragon Horse,,ChIJc4jk1ZWBhYARkZIS5HmVER8,SF,
Llama Cafe,Llama Cafe,66 Hudson blvd East,ChIJw_SkbbNZwokRZewVFMxQOT8,NYC,
Spygold Husdon Yards,Spygold,451 10th Ave,ChIJcZp1Y2tZwokRWM2nLr5rz_4,NYC,
Millers All Day James Island,Millers All Day - James Island,120 King Street,ChIJEWlFjFd5_ogREoukLXlaF2I,CHS,
Post House Mt. Pleasant,Post House,101 Pitt St,ChIJy5sQLuJw_ogRnxFgqpnQ1SY,CHS,
Frances The Castro,Frances,3870 17th St,ChIJky2knBt-j4ARXAdR3-GAWM8,SF,
The Blue Light Pacific Heights,The Blue Light,1979 Union Street,ChIJvVG_OtuAhYARhrfEv3QiQLA,SF,
Toy Soldier Financial,Toy Soldier,52 Belden Place,ChIJtT_kKIqAhYAR8kotss7-lA8,SF,
Isshiki East Village,isshiki matcha,,ChIJsVe2QABZwokR4ewjadozGNE,NYC,
Isabelle's Osteria Gramercy,Isabels Family Restaurant,245 Park Ave S,ChIJV9twMKRZwokRkXW1n1miJeQ,NYC,
Smith & Mills Rockefeller Center,Smith & Mills,71 N Moore St,ChIJE_nbh_1ZwokRXlCky7bbD2Y,NYC,
Naro Rockefeller Center,NARO,1 Rockefeller Plaza,ChIJp7Ql8AZZwokRecf5nJr8RJU,NYC,
Jupiter Rockefeller Center,Jupiter,620 5th Avenue,ChIJyflTcS1ZwokRBWTy8tCgaDM,NYC,
5 Acres Rockefeller Center,5 Acres,,ChIJj0EtEZRZwokRYi9Wk-lvJUU,NYC,
Bodega Downtown,Bodega - Mt. Pleasant,23 Ann Street,ChIJV_qOlyJ7_ogRZUQr84eFa28,CHS,
Bodega (Pay),Bodega - Downtown,23 Ann Street,ChIJV_qOlyJ7_ogRZUQr84eFa28,CHS,
Parcelle Greenwich Village,Parcelle Wine West Village,135 Division Street,ChIJFXVNUJxZwokRDhvP51t1PFQ,NYC,
The Garret West,The Garret West,296 Bleecker St,ChIJkdFGdJNZwokRY_FA1UjcHGI,NYC,
Dashi Park Circle,Dashi,1262 Remount Rd,ChIJLQTTP69l_ogRPQLNc7SiSas,CHS,
Herd Provisions East Central,Herd Provisions,106 Grove Street,ChIJ93o7oNB7_ogRKt36Os-r-C8,CHS,
Owlbear Cafe Mt. Pleasant,Owlbear Cafe,1964 Riviera Dr J,ChIJnVMSUxVz_ogRGHD5la1rr8k,CHS,
Callie's Hot Little Biscuit Meeting Street,Callie's Hot Little Biscuit (King St),188 Meeting St,ChIJdz9mtA16_ogRnHxmONzNzn4,CHS,
Estadio Cannonborough,Estadio,,ChIJHRCMPIt7_ogRK9T7mG56Vs4,CHS,
Lowland French Quarter,Lowland,,ChIJTTcM5Zx7_ogRlEKsvPVFWHM,CHS,
Sami & Susu Lower East Side,Sami & Susu,190 Orchard Street,ChIJRbqLkqFZwokR3E6d0zDKAko,NYC,
Ivan Ramen Lower East Side,Ivan Ramen,25 Clinton Street,ChIJreEXi4FZwokR_ygs7wh2fTk,NYC,
Ristobar Marina,Ristobar,2300 Chestnut St.,ChIJZSPQINSAhYAR_o9rtGR7u0I,SF,
Layla Williamsburg,Layla,352 Bedford Avenue,ChIJ57ZDGMxbwokRVox0BjRGB_U,NYC,
Besharam Potrero Hill,Beshraham,1275 Minnesota St,ChIJpVAZ4wx_j4AR4j8Q0COpGHc,SF,
Kellogg's Diner Williamsburg,Kellogg's Diner CLOSED,518 Metropolitan Ave,ChIJIccpGllZwokRx0BsEyyeQg4,NYC,
Gjelina NY Gjelina NY,Gjelina NY,45 Bond St,ChIJv9s0scFZwokRYuWpWB7CLbw,NYC,
Lost Isle,Lost Isle,"3338 Maybank Hwy, Johns Island, SC 29455",ChIJlb-kF-9__ogRcmNJB2ScqhI,CHS,
Lowlife,Lowlife Bar,"106 E Hudson Ave, Folly Beach, SC 29439",ChIJEVkJrRrX_YgRJZhpb4ZGxKw,CHS,
Hoexters Upper East Side,Hoexter’s,174 East 82nd Street,ChIJJWByn_BZwokR9IC-3PtPPuk,NYC,
